benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
b7db3c11a75d5f6370fc3fadcfe270d5-QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
bd12a2518110f7b3b6d57029bac98808-connm-ue-csp-sat-n600-d-0.02-s755459911.used-as.sat04-948.cnf.xz,219.36,12.74,29.25,97.34
fa7055908271153a5d9f46f6882aa1ab-dspam_dump_vc1103.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2a4287ec5a62566667d1b6f1e3c04326-med30.shuffled.cnf.xz,0.09,0.1,2.77,0.32
67df7bd97e841395a4c75281423986cf-ktf_TF-6.tf_4_0.06_77.cnf.xz,126.29,3.32,78.75,TIMEOUT
b90257cce8be23023f5b1f43042b5a5a-eqbpdtlf14spdtlf14.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
216649d54f3531537c6b01227b992b5e-f8nidw.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d9fe50de72fb34ea94518c32d8f3077c-hitag2-7-60-0-0xe8fa35372ed37e2-80.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4a6798e1b043f81b71db5734e0a128a3-7-4-7.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1805f0d293e36cf62f6d1ff73ab2ed6b-Composite-048BitPrimes-1.sat05-504.reshuffled-07.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b4187ba4c8039dfb2ada3f97274f6a1a-rbsat-v1150c84314g1.cnf.xz,327.17,2411.94,1796.55,74.12
691477031e5e06a8aad6507250b52b14-SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d489e4de57680945d6c212fc5a4c5436-marg6x6.shuffled-as.sat03-1456.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
83a1e1bb441806ee6112b1f2365456ca-battleship-10-17-sat.cnf.xz,0.03,0,0.02,0.19
25197bd2b8fe3a3310665ce9a6f6cd2f-fdmus_b22_172.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
5b505dd2fe33fd5a2ad60669f51cdeb4-urqh6x6.shuffled-as.sat03-1482.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
54cf0c1a3abf79f4757d5285f4bfc4e3-le450_15b.col.15-sc2018.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
941bff6aa8518ad9e8dc7c3bce223ae6-ibm-2004-3_11-k60.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ddcd157f0537dbf1b0f2056a13adf2c5-289-unsat-14x34.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f58feb98f29a7807fed9d9ff263c733a-smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4b082506d1c282cb539fa3ee652d2e69-LABS_n091_goal009.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0f4911e1180b80b45e9db7ec5e73eb66-hcp_CP16_16.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
bffe864bce727b082fc643422f21b8cc-gt-014.shuffled-as.sat05-1290.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c76239a08fd7090e5b2938d02f76a3fe-bob12s02.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b70b07489391f3e323d29718ad2d61db-homer09.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
